"都道府県名","総数（人口）","交付枚数","交付率","人口算出基準日","交付件数基準日"
"青森県",1308707,136748,10.4,"2018/01/01","2018/07/01"
"岩手県",1264329,131824,10.4,"2018/01/01","2018/07/01"
"宮城県",2312080,250449,10.8,"2018/01/01","2018/07/01"
"秋田県",1015057,89406,8.8,"2018/01/01","2018/07/01"
"山形県",1106984,90051,8.1,"2018/01/01","2018/07/01"
"福島県",1919680,194446,10.1,"2018/01/01","2018/07/01"
"茨城県",2951087,333006,11.3,"2018/01/01","2018/07/01"
"栃木県",1985738,205765,10.4,"2018/01/01","2018/07/01"
"群馬県",1990584,188638,9.5,"2018/01/01","2018/07/01"
"埼玉県",7363011,839644,11.4,"2018/01/01","2018/07/01"
"千葉県",6298992,805876,12.8,"2018/01/01","2018/07/01"
"東京都",13637346,2028171,14.9,"2018/01/01","2018/07/01"
"神奈川県",9171274,1333292,14.5,"2018/01/01","2018/07/01"
"新潟県",2281291,189124,8.3,"2018/01/01","2018/07/01"
"富山県",1069512,106405,9.9,"2018/01/01","2018/07/01"
"石川県",1150398,101718,8.8,"2018/01/01","2018/07/01"
"福井県",790758,60813,7.7,"2018/01/01","2018/07/01"
"山梨県",838823,78926,9.4,"2018/01/01","2018/07/01"
"長野県",2114140,197944,9.4,"2018/01/01","2018/07/01"
"岐阜県",2054349,175215,8.5,"2018/01/01","2018/07/01"
"静岡県",3743015,397145,10.6,"2018/01/01","2018/07/01"
"愛知県",7551840,775217,10.3,"2018/01/01","2018/07/01"
"三重県",1834269,173064,9.4,"2018/01/01","2018/07/01"
"京都府",2563152,289933,11.3,"2018/01/01","2018/07/01"
"大阪府",8856444,1133565,12.8,"2018/01/01","2018/07/01"
"兵庫県",5589708,742566,13.3,"2018/01/01","2018/07/01"
"奈良県",1371700,183436,13.4,"2018/01/01","2018/07/01"
"和歌山県",975074,86166,8.8,"2018/01/01","2018/07/01"
"鳥取県",570824,53238,9.3,"2018/01/01","2018/07/01"
"島根県",691225,71629,10.4,"2018/01/01","2018/07/01"
"岡山県",1920619,183026,9.5,"2018/01/01","2018/07/01"
"広島県",2848846,323704,11.4,"2018/01/01","2018/07/01"
"山口県",1396197,160476,11.5,"2018/01/01","2018/07/01"
"徳島県",757377,70162,9.3,"2018/01/01","2018/07/01"
"香川県",993205,93357,9.4,"2018/01/01","2018/07/01"
"愛媛県",1394339,129590,9.3,"2018/01/01","2018/07/01"
"高知県",725289,50020,6.9,"2018/01/01","2018/07/01"
"福岡県",5130773,512611,10.0,"2018/01/01","2018/07/01"
"佐賀県",833272,78722,9.4,"2018/01/01","2018/07/01"
"長崎県",1379003,161054,11.7,"2018/01/01","2018/07/01"
"熊本県",1789184,194675,10.9,"2018/01/01","2018/07/01"
"大分県",1169158,117600,10.1,"2018/01/01","2018/07/01"
"宮崎県",1112008,172662,15.5,"2018/01/01","2018/07/01"
"鹿児島県",1655888,173808,10.5,"2018/01/01","2018/07/01"
"沖縄県",1471536,132557,9.0,"2018/01/01","2018/07/01"
