"算出基準日","年齢","人口(男)","人口(女)","人口(計)","交付件数(男)","交付件数(女)","交付件数(計)","交付率(男)","交付率(女)","交付率(計)","全体に対する交付件数割合(男)","全体に対する交付件数割合(女)","全体に対する交付件数割合(計)","人口算出基準日","交付枚数算出基準日"
"2020/03/01","全体",62174142,65269421,127443563,10394664,9336088,19730752,16.7,14.3,15.5,100.0,100.0,100.0,"2019/01/01","2020/03/01"
"2020/03/01","0～4歳",2521289,2396069,4917358,82507,77708,160215,3.3,3.2,3.3,0.8,0.8,0.8,"2019/01/01","2020/03/01"
"2020/03/01","5～9",2732810,2597758,5330568,130934,127012,257946,4.8,4.9,4.8,1.3,1.4,1.3,"2019/01/01","2020/03/01"
"2020/03/01","10～14",2823910,2686588,5510498,124580,129979,254559,4.4,4.8,4.6,1.2,1.4,1.3,"2019/01/01","2020/03/01"
"2020/03/01","15～19",3041288,2892530,5933818,203628,210493,414121,6.7,7.3,7.0,2.0,2.3,2.1,"2019/01/01","2020/03/01"
"2020/03/01","20～24",3296677,3124747,6421424,397762,416016,813778,12.1,13.3,12.7,3.8,4.5,4.1,"2019/01/01","2020/03/01"
"2020/03/01","25～29",3310343,3124346,6434689,497800,473424,971224,15.0,15.2,15.1,4.8,5.1,4.9,"2019/01/01","2020/03/01"
"2020/03/01","30～34",3658968,3493161,7152129,565225,502284,1067509,15.4,14.4,14.9,5.4,5.4,5.4,"2019/01/01","2020/03/01"
"2020/03/01","35～39",4002907,3856691,7859598,597803,494854,1092657,14.9,12.8,13.9,5.8,5.3,5.5,"2019/01/01","2020/03/01"
"2020/03/01","40～44",4656293,4495779,9152072,649532,503170,1152702,13.9,11.2,12.6,6.2,5.4,5.8,"2019/01/01","2020/03/01"
"2020/03/01","45～49",4983034,4848511,9831545,735480,572353,1307833,14.8,11.8,13.3,7.1,6.1,6.6,"2019/01/01","2020/03/01"
"2020/03/01","50～54",4272064,4205832,8477896,717967,577047,1295014,16.8,13.7,15.3,6.9,6.2,6.6,"2019/01/01","2020/03/01"
"2020/03/01","55～59",3832181,3829920,7662101,760858,627381,1388239,19.9,16.4,18.1,7.3,6.7,7.0,"2019/01/01","2020/03/01"
"2020/03/01","60～64",3749568,3824988,7574556,841359,724478,1565837,22.4,18.9,20.7,8.1,7.8,7.9,"2019/01/01","2020/03/01"
"2020/03/01","65～69",4439844,4717535,9157379,1008641,894278,1902919,22.7,19.0,20.8,9.7,9.6,9.6,"2019/01/01","2020/03/01"
"2020/03/01","70～74",3881182,4364234,8245416,1052974,993275,2046249,27.1,22.8,24.8,10.1,10.6,10.4,"2019/01/01","2020/03/01"
"2020/03/01","75～79",3098224,3842998,6941222,890612,908130,1798742,28.7,23.6,25.9,8.6,9.7,9.1,"2019/01/01","2020/03/01"
"2020/03/01","80～84",2147070,3089298,5236368,625463,615640,1241103,29.1,19.9,23.7,6.0,6.6,6.3,"2019/01/01","2020/03/01"
"2020/03/01","85～89",1202685,2251901,3454586,359983,342118,702101,29.9,15.2,20.3,3.5,3.7,3.6,"2019/01/01","2020/03/01"
"2020/03/01","90～94",437923,1193961,1631884,128845,120107,248952,29.4,10.1,15.3,1.2,1.3,1.3,"2019/01/01","2020/03/01"
"2020/03/01","95～99",77620,371776,449396,20804,23367,44171,26.8,6.3,9.8,0.2,0.3,0.2,"2019/01/01","2020/03/01"
"2020/03/01","100歳以上",8241,60749,68990,1907,2974,4881,23.1,4.9,7.1,0.0,0.0,0.0,"2019/01/01","2020/03/01"
