"算出基準日","都道府県名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付枚数算出基準日"
"2021/07/01","北海道",5267762,1613732,30.6,"2020/01/01","2021/07/01"
"2021/07/01","青森県",1275783,372147,29.2,"2020/01/01","2021/07/01"
"2021/07/01","岩手県",1235517,366911,29.7,"2020/01/01","2021/07/01"
"2021/07/01","宮城県",2292385,760065,33.2,"2020/01/01","2021/07/01"
"2021/07/01","秋田県",985416,322139,32.7,"2020/01/01","2021/07/01"
"2021/07/01","山形県",1082296,323692,29.9,"2020/01/01","2021/07/01"
"2021/07/01","福島県",1881981,561557,29.8,"2020/01/01","2021/07/01"
"2021/07/01","茨城県",2921436,968662,33.2,"2020/01/01","2021/07/01"
"2021/07/01","栃木県",1965516,617687,31.4,"2020/01/01","2021/07/01"
"2021/07/01","群馬県",1969439,554429,28.2,"2020/01/01","2021/07/01"
"2021/07/01","埼玉県",7390054,2425821,32.8,"2020/01/01","2021/07/01"
"2021/07/01","千葉県",6319772,2186684,34.6,"2020/01/01","2021/07/01"
"2021/07/01","東京都",13834925,5089982,36.8,"2020/01/01","2021/07/01"
"2021/07/01","神奈川県",9209442,3353932,36.4,"2020/01/01","2021/07/01"
"2021/07/01","新潟県",2236042,614367,27.5,"2020/01/01","2021/07/01"
"2021/07/01","富山県",1055999,374292,35.4,"2020/01/01","2021/07/01"
"2021/07/01","石川県",1139612,395674,34.7,"2020/01/01","2021/07/01"
"2021/07/01","福井県",780053,248404,31.8,"2020/01/01","2021/07/01"
"2021/07/01","山梨県",826579,266746,32.3,"2020/01/01","2021/07/01"
"2021/07/01","長野県",2087307,612188,29.3,"2020/01/01","2021/07/01"
"2021/07/01","岐阜県",2032490,655854,32.3,"2020/01/01","2021/07/01"
"2021/07/01","静岡県",3708556,1299575,35.0,"2020/01/01","2021/07/01"
"2021/07/01","愛知県",7575530,2570274,33.9,"2020/01/01","2021/07/01"
"2021/07/01","三重県",1813859,618918,34.1,"2020/01/01","2021/07/01"
"2021/07/01","滋賀県",1420948,545435,38.4,"2020/01/01","2021/07/01"
"2021/07/01","京都府",2545899,899383,35.3,"2020/01/01","2021/07/01"
"2021/07/01","大阪府",8849635,3150148,35.6,"2020/01/01","2021/07/01"
"2021/07/01","兵庫県",5549568,2157427,38.9,"2020/01/01","2021/07/01"
"2021/07/01","奈良県",1353837,529768,39.1,"2020/01/01","2021/07/01"
"2021/07/01","和歌山県",954258,285739,29.9,"2020/01/01","2021/07/01"
"2021/07/01","鳥取県",561175,185788,33.1,"2020/01/01","2021/07/01"
"2021/07/01","島根県",679324,228288,33.6,"2020/01/01","2021/07/01"
"2021/07/01","岡山県",1903627,637827,33.5,"2020/01/01","2021/07/01"
"2021/07/01","広島県",2826858,1011869,35.8,"2020/01/01","2021/07/01"
"2021/07/01","山口県",1369882,504479,36.8,"2020/01/01","2021/07/01"
"2021/07/01","徳島県",742505,259453,34.9,"2020/01/01","2021/07/01"
"2021/07/01","香川県",981280,335386,34.2,"2020/01/01","2021/07/01"
"2021/07/01","愛媛県",1369131,475095,34.7,"2020/01/01","2021/07/01"
"2021/07/01","高知県",709230,194637,27.4,"2020/01/01","2021/07/01"
"2021/07/01","福岡県",5129841,1732753,33.8,"2020/01/01","2021/07/01"
"2021/07/01","佐賀県",823810,279344,33.9,"2020/01/01","2021/07/01"
"2021/07/01","長崎県",1350769,449805,33.3,"2020/01/01","2021/07/01"
"2021/07/01","熊本県",1769880,593507,33.5,"2020/01/01","2021/07/01"
"2021/07/01","大分県",1151229,383508,33.3,"2020/01/01","2021/07/01"
"2021/07/01","宮崎県",1095903,491376,44.8,"2020/01/01","2021/07/01"
"2021/07/01","鹿児島県",1630146,531813,32.6,"2020/01/01","2021/07/01"
"2021/07/01","沖縄県",1481547,401595,27.1,"2020/01/01","2021/07/01"
