"公開日","年齢","人口(男)","人口(女)","人口(計","交付件数(男)","交付件数(女)","交付件数(計)","交付率(男)","交付率(女)","交付率(計)","全体に対する交付件数割合(男)","全体に対する交付件数割合(女)","全体に対する交付件数割合(計)","人口算出基準日","交付件数基準日"
"2019/11/01","全体",62174142,65269421,127443563,9622692,8611250,18233942,15.5,13.2,14.3,100.0,100.0,100.0,"2019/01/01","2019/11/01"
"2019/11/01","0~4歳",2521289,2396069,4917358,55470,51813,107283,2.2,2.2,2.2,0.6,0.6,0.6,"2019/01/01","2019/11/01"
"2019/11/01","5~9",2732810,2597758,5330568,105617,102563,208180,3.9,3.9,3.9,1.1,1.2,1.1,"2019/01/01","2019/11/01"
"2019/11/01","10~14",2823910,2686588,5510498,102622,106925,209547,3.6,4.0,3.8,1.1,1.2,1.1,"2019/01/01","2019/11/01"
"2019/11/01","15~19",3041288,2892530,5933818,169152,177021,346173,5.6,6.1,5.8,1.8,2.1,1.9,"2019/01/01","2019/11/01"
"2019/11/01","20~24",3296677,3124747,6421424,347875,368788,716663,10.6,11.8,11.2,3.6,4.3,3.9,"2019/01/01","2019/11/01"
"2019/11/01","25~29",3310343,3124346,6434689,438931,420648,859579,13.3,13.5,13.4,4.6,4.9,4.7,"2019/01/01","2019/11/01"
"2019/11/01","30~34",3658968,3493161,7152129,501120,446518,947638,13.7,12.8,13.2,5.2,5.2,5.2,"2019/01/01","2019/11/01"
"2019/11/01","35~39",4002907,3856691,7859598,534603,441416,976019,13.4,11.4,12.4,5.6,5.1,5.4,"2019/01/01","2019/11/01"
"2019/11/01","40~44",4656293,4495779,9152072,582471,447294,1029765,12.5,9.9,11.3,6.1,5.2,5.6,"2019/01/01","2019/11/01"
"2019/11/01","45~49",4983034,4848511,9831545,663653,509894,1173547,13.3,10.5,11.9,6.9,5.9,6.4,"2019/01/01","2019/11/01"
"2019/11/01","50~54",4272064,4205832,8477896,651652,518390,1170042,15.3,12.3,13.8,6.8,6.0,6.4,"2019/01/01","2019/11/01"
"2019/11/01","55~59",3832181,3829920,7662101,693443,571506,1264949,18.1,14.9,16.5,7.2,6.6,6.9,"2019/01/01","2019/11/01"
"2019/11/01","60~64",3749568,3824988,7574556,793390,682881,1476271,21.2,17.9,19.5,8.2,7.9,8.1,"2019/01/01","2019/11/01"
"2019/11/01","65~69",4439844,4717535,9157379,974039,858908,1832947,21.9,18.2,20.0,10.1,10.0,10.1,"2019/01/01","2019/11/01"
"2019/11/01","70~74",3881182,4364234,8245416,1023643,956437,1980080,26.4,21.9,24.0,10.6,11.1,10.9,"2019/01/01","2019/11/01"
"2019/11/01","75~79",3098224,3842998,6941222,869241,877222,1746463,28.1,22.8,25.2,9.0,10.2,9.6,"2019/01/01","2019/11/01"
"2019/11/01","80~84",2147070,3089298,5236368,612129,596101,1208230,28.5,19.3,23.1,6.4,6.9,6.6,"2019/01/01","2019/11/01"
"2019/11/01","85~89",1202685,2251901,3454586,353844,333036,686880,29.4,14.8,19.9,3.7,3.9,3.8,"2019/01/01","2019/11/01"
"2019/11/01","90~94",437923,1193961,1631884,127258,117857,245115,29.1,9.9,15.0,1.3,1.4,1.3,"2019/01/01","2019/11/01"
"2019/11/01","95~99",77620,371776,449396,20651,23091,43742,26.6,6.2,9.7,0.2,0.3,0.2,"2019/01/01","2019/11/01"
"2019/11/01","100歳以上",8241,60749,68990,1888,2941,4829,22.9,4.8,7.0,0.0,0.0,0.0,"2019/01/01","2019/11/01"
