"年齢","人口（H29.1.1時点）","","","交付件数（H29.12.1時点）","","","交付率","","","全体に対する交付件数割合","",""
"","男","女","計","男","女","計","男","女","計","男","女","計"
"全体",62394249,"","65,512,765 127,907,014",6982795,6026342,13009137,11.2,9.2,10.2,100.0,100.0,100.0
"0～4歳",2621231,2490499,5111730,55330,52266,107596,2.1,2.1,2.1,0.8,0.9,0.8
"5～9",2785944,2646286,5432230,79137,76405,155542,2.8,2.9,2.9,1.1,1.3,1.2
"10～14",2868662,2729563,5598225,74044,74301,148345,2.6,2.7,2.6,1.1,1.2,1.1
"15～19",3090372,2942630,6033002,119734,118099,237833,3.9,4.0,3.9,1.7,2.0,1.8
"20～24",3243592,3079965,6323557,220691,221752,442443,6.8,7.2,7.0,3.2,3.7,3.4
"25～29",3399524,3223084,6622608,275247,245119,520366,8.1,7.6,7.9,3.9,4.1,4.0
"30～34",3808238,3656088,7464326,325766,277168,602934,8.6,7.6,8.1,4.7,4.6,4.6
"35～39",4199117,4044663,8243780,355050,278048,633098,8.5,6.9,7.7,5.1,4.6,4.9
"40～44",4976555,4812300,9788855,413000,301866,714866,8.3,6.3,7.3,5.9,5.0,5.5
"45～49",4807492,4693977,9501469,444243,330395,774638,9.2,7.0,8.2,6.4,5.5,6.0
"50～54",3989860,3937541,7927401,462278,358582,820860,11.6,9.1,10.4,6.6,6.0,6.3
"55～59",3763163,3774218,7537381,515588,429330,944918,13.7,11.4,12.5,7.4,7.1,7.3
"60～64",3976493,4072974,8049467,639145,549425,1188570,16.1,13.5,14.8,9.2,9.1,9.1
"65～69",4929868,5242975,10172843,892784,768757,1661541,18.1,14.7,16.3,12.8,12.8,12.8
"70～74",3417616,3914181,7331797,733869,680961,1414830,21.5,17.4,19.3,10.5,11.3,10.9
"75～79",2903418,3621089,6524507,641191,599838,1241029,22.1,16.6,19.0,9.2,10.0,9.5
"80～84",2064886,3043941,5108827,445121,402611,847732,21.6,13.2,16.6,6.4,6.7,6.5
"85～89",1095016,2114143,3209159,220489,194231,414720,20.1,9.2,12.9,3.2,3.2,3.2
"90～94",376916,1087992,1464908,61958,56727,118685,16.4,5.2,8.1,0.9,0.9,0.9
"95～99",68342,327978,396320,7597,9453,17050,11.1,2.9,4.3,0.1,0.2,0.1
"100歳以上",7944,56678,64622,533,1008,1541,6.7,1.8,2.4,0.0,0.0,0.0
