"年齢","人口（H30.1.1時点）","","","交付件数（H30.12.1時点）","","","人口に対する
交付枚数率","","","全体に対する交付件数割合","",""
"","男","女","計","男","女","計","男","女","計","男","女","計"
"全体",62298872,"","65,408,317 127,707,189",8330262,7312143,15642405,13.4,11.2,12.2,100.0,100.0,100.0
"0～4歳",2576059,2448877,5024936,55201,51769,106970,2.1,2.1,2.1,0.7,0.7,0.7
"5～9",2761895,2625266,5387161,91121,88380,179501,3.3,3.4,3.3,1.1,1.2,1.1
"10～14",2838085,2700056,5538141,87910,90277,178187,3.1,3.3,3.2,1.1,1.2,1.1
"15～19",3076958,2927326,6004284,145083,147761,292844,4.7,5.0,4.9,1.7,2.0,1.9
"20～24",3262515,3096776,6359291,287336,298068,585404,8.8,9.6,9.2,3.4,4.1,3.7
"25～29",3352604,3171883,6524487,352596,327217,679813,10.5,10.3,10.4,4.2,4.5,4.3
"30～34",3740090,3578958,7319048,415011,361547,776558,11.1,10.1,10.6,5.0,4.9,5.0
"35～39",4092014,3944274,8036288,445102,357858,802960,10.9,9.1,10.0,5.3,4.9,5.1
"40～44",4834840,4670809,9505649,500483,373805,874288,10.4,8.0,9.2,6.0,5.1,5.6
"45～49",4876089,4749158,9625247,554575,415192,969767,11.4,8.7,10.1,6.7,5.7,6.2
"50～54",4155182,4097972,8253154,557796,435251,993047,13.4,10.6,12.0,6.7,6.0,6.3
"55～59",3808343,3813246,7621589,602331,496696,1099027,15.8,13.0,14.4,7.2,6.8,7.0
"60～64",3814894,3899275,7714169,720528,615396,1335924,18.9,15.8,17.3,8.6,8.4,8.5
"65～69",4715129,5012634,9727763,949925,829724,1779649,20.1,16.6,18.3,11.4,11.3,11.4
"70～74",3648372,4139718,7788090,876292,815452,1691744,24.0,19.7,21.7,10.5,11.2,10.8
"75～79",2970975,3687240,6658215,765195,746426,1511621,25.8,20.2,22.7,9.2,10.2,9.7
"80～84",2131085,3100218,5231303,530712,498630,1029342,24.9,16.1,19.7,6.4,6.8,6.6
"85～89",1156847,2200116,3356963,287169,261284,548453,24.8,11.9,16.3,3.4,3.6,3.5
"90～94",407334,1138156,1545490,92002,84558,176560,22.6,7.4,11.4,1.1,1.2,1.1
"95～99",71414,347548,418962,12857,15139,27996,18.0,4.4,6.7,0.2,0.2,0.2
"100歳以上",8148,58811,66959,1037,1713,2750,12.7,2.9,4.1,0.0,0.0,0.0
