"区分","","人口
（H30.1.1時点）","交付枚数
（H30.7.1時点）","人口に対する交付枚数率"
"全国","",127707259,14672462,11.5
"","特別区",9396597,1434270,15.3
"","政令指定都市",27445782,3395841,12.4
"","市（政令指定都市を除く）",79815668,8790700,11.0
"","町村",11049212,1051651,9.5
"区分","","人口
（H30.1.1時点）","交付枚数
（H30.7.1時点）","人口に対する交付枚数率"
"全国","",127707259,14672462,11.5
"","特別区",9396597,1434270,15.3
"","政令指定都市",27445782,3395841,12.4
"","市（政令指定都市を除く）",79815668,8790700,11.0
"","町村",11049212,1051651,9.5
"区分","","人口
（H30.1.1時点）","交付枚数
（H30.7.1時点）","人口に対する交付枚数率"
"全国","",127707259,14672462,11.5
"","特別区",9396597,1434270,15.3
"","政令指定都市",27445782,3395841,12.4
"","市（政令指定都市を除く）",79815668,8790700,11.0
"","町村",11049212,1051651,9.5
